id,name,group
210,Aconitum napellus (Aconitum) golyócskák  (  9CH),oral
211,Aconitum napellus (Aconitum) golyócskák  ( 12CH),oral
212,Aconitum napellus (Aconitum) golyócskák  ( 15CH),oral
213,Aconitum napellus (Aconitum) golyócskák  ( 30CH),oral
214,Aconitum napellus (Aconitum) golyócskák  (200CH),oral
215,Aconitum napellus (Aconitum) golyócskák  (C    5),oral
216,Aconitum napellus (Aconitum) golyócskák  (C    6),oral
217,Aconitum napellus (Aconitum) golyócskák  (C    9),oral
218,Aconitum napellus (Aconitum) golyócskák  (C   12),oral
219,Aconitum napellus (Aconitum) golyócskák  (C   15),oral
220,Aconitum napellus (Aconitum) golyócskák  (C   30),oral
221,Aconitum napellus (Aconitum) golyócskák  (C  200),oral
222,Aconitum napellus (Aconitum) golyócskák  (C 1000),oral
223,Aconitum napellus (Aconitum) golyócskák  (C10000),oral
224,Aconitum napellus (Aconitum) golyócskák  (D    4),oral
225,Aconitum napellus (Aconitum) golyócskák  (D    6),oral
226,Aconitum napellus (Aconitum) golyócskák  (D   12),oral
227,Aconitum napellus (Aconitum) golyócskák  (D   30),oral
228,Aconitum napellus (Aconitum) golyócskák  (D  200),oral
229,Aconitum napellus (Aconitum) golyócskák  (D1000),oral
230,Aconitum napellus (Aconitum) golyócskák  (LM 1),oral
231,Aconitum napellus (Aconitum) golyócskák  (LM 2),oral
232,Aconitum napellus (Aconitum) golyócskák  (LM 3),oral
233,Aconitum napellus (Aconitum) golyócskák  (LM 6),oral
234,Aconitum napellus (Aconitum) golyócskák  (LM12),oral
235,Aconitum napellus (Aconitum) golyócskák  (LM18),oral
236,Aconitum napellus (Aconitum) golyócskák  (LM24),oral
237,Aconitum napellus (Aconitum) golyócskák  (LM30),oral
238,Aconitum napellus (Aconitum) golyócskák (C 5),oral
239,Aconitum napellus (Aconitum) golyócskák (C 6),oral
240,Aconitum napellus (Aconitum) golyócskák (C 9),oral
241,Aconitum napellus (Aconitum) golyócskák (C12),oral
242,Aconitum napellus (Aconitum) golyócskák (C15),oral
243,Aconitum napellus (Aconitum) golyócskák (C30),oral
244,Aconitum napellus (Aconitum) golyócskák (D 4),oral
245,Aconitum napellus (Aconitum) golyócskák (D 5),oral
246,Aconitum napellus (Aconitum) golyócskák (D 6),oral
247,Aconitum napellus (Aconitum) golyócskák (D10),oral
248,Aconitum napellus (Aconitum) golyócskák (D12),oral
249,Aconitum napellus (Aconitum) golyócskák (D30),oral
250,"ACTAPRIL 0,5 mg kemény kapszula",oral
251,ACTAPRIL 1 mg kemény kapszula,oral
252,ACTAPRIL 2 mg kemény kapszula,oral
253,ACTAPRIL 4 mg kemény kapszula,oral
254,ACTELSAR 20 mg tabletta,oral
255,ACTELSAR 40 mg tabletta,oral
256,ACTELSAR 80 mg tabletta,oral
257,"Actelsar HCT 40 mg/12,5 mg tabletta",oral
258,"Actelsar HCT 80 mg/12,5 mg tabletta",oral
259,Actelsar HCT 80 mg/25 mg tabletta,oral
260,ACTIVAL EXTRA filmtabletta,oral
261,ACTIVAL JUNIOR rágótabletta,oral
262,ACTIVAL SENIOR filmtabletta,oral
263,ACTIVELLE filmtabletta,oral
264,ACTIVON 100 mg/ml külsőleges oldatos spray,oral
265,ACTIVON EXTRA gél,oral
266,ACTONEL  5 mg filmtabletta,oral
267,ACTONEL 35 mg filmtabletta,oral
268,ACTONEL 75 mg filmtabletta,oral
269,ACTONEL TRIO 35 mg film- és rágótabletta,oral
270,ACTONEL TRIO 75 mg film- és rágótabletta,oral
271,Actos 15 mg tabletta,oral
272,Actos 30 mg tabletta,oral
273,Actos 45 mg tabletta,oral
274,Actraphane 10 NovoLet 100 NE/ml szuszpenziós injekció,insulin
275,Actraphane 10 Penfill 100 NE/ml szuszpenziós injekció patronban (3 ml),insulin
276,Actraphane 20 NovoLet 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban (3 ml),insulin
277,Actraphane 20 Penfill 100 NE/ml szuszpenziós injekció patronban (3 ml),insulin
278,Actraphane 30 100 NE/ml szuszpenziós injekció injekciós üvegben (10 ml),insulin
279,Actraphane 30 40 NE/ml szuszpenziós injekció injekciós üvegben (10 ml),insulin
280,Actraphane 30 FlexPen 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban,insulin
281,Actraphane 30 InnoLet 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban,insulin
282,Actraphane 30 NovoLet 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban,insulin
283,Actraphane 30 Penfill 100 NE/ml szuszpenziós injekció patronban,insulin
284,Actraphane 40 NovoLet 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban,insulin
285,Actraphane 40 Penfill 100 NE/ml szuszpenziós injekció patronban,insulin
286,Actraphane 50 NovoLet 100 NE/ml szuszpenziós injekció előretöltött injekciós tollban,insulin
287,Actraphane 50 Penfill 100 NE/ml szuszpenziós injekció patronban,insulin
288,Actrapid 100 NE/ml oldatos injekció injekciós üvegben (10 ml),insulin
289,Actrapid 40 NE/ml oldatos injekció injekciós üvegben (10 ml),insulin
290,Actrapid FlexPen 100 NE/ml oldatos injekció előretöltött injekciós tollban,insulin
291,Actrapid InnoLet 100 NE/ml oldatos injekció előretöltött injekciós tollban,insulin
292,Actrapid NovoLet 100 NE/ml oldatos injekció előretöltött injekciós tollban,insulin
293,Actrapid Penfill 100 NE/ml oldatos injekció patronban,insulin
294,ACUVER 8 mg/adag belsőleges oldat pumpás adagolóval,oral
295,ACYCLOSTAD 50 mg/g krém,oral
296,"ADALAT 0,1 mg/ml oldatos infúzió",oral
297,ADALAT GITS  30 mg retard filmtabletta,oral
298,ADALAT GITS 30 mg retard filmtabletta,oral
299,ADALAT GITS 60 mg retard filmtabletta,oral
300,ADAMON  50 mg retard kemény kapszula,oral
301,ADAMON 100 mg retard kemény kapszula,oral
302,ADAMON 150 mg retard kemény kapszula,oral
303,ADAMON 200 mg retard kemény kapszula,oral
304,"ADARTREL 0,25 mg filmtabletta",oral
305,"ADARTREL 0,5 mg filmtabletta",oral
306,ADARTREL 2 mg filmtabletta,oral
307,"Adasuve 4,5 mg adagolt inhalációs por",oral
308,"Adasuve 9,1 mg adagolt inhalációs por",oral
309,Adcetris 50 mg por oldatos infúzióhoz való koncentrátumhoz,oral
310,Adcirca 20 mg filmtabletta,oral
311,ADDAMEL N koncentrátum oldatos infúzióhoz,oral
312,ADEBIT tabletta,oral
313,"ADELLE 3 mg/0,02 mg filmtabletta",oral
314,"ADELLE 3 mg/0,03 mg filmtabletta",oral
315,"Adempas 0,5 mg filmtabletta",oral
316,Adempas 1 mg filmtabletta,oral
317,"Adempas 1,5 mg filmtabletta",oral
318,Adempas 2 mg filmtabletta,oral
319,"Adempas 2,5 mg filmtabletta",oral
320,Adenuric  80 mg filmtabletta,oral
321,Adenuric 120 mg filmtabletta,oral
322,ADEPEND 50 mg filmtabletta,oral
323,"ADEREGL 0,5 mg tabletta",oral
324,ADEREGL 1 mg tabletta,oral
325,ADEREGL 2 mg tabletta,oral
326,ADEXOR MR 35 mg módosított hatóanyag leadású filmtabletta,oral
327,ADIMET  500 mg filmtabletta,oral
328,ADIMET  850 mg filmtabletta,oral
329,ADIMET 1000 mg filmtabletta,oral
330,"ADIURETIN 0,1 mg tabletta",oral
331,"ADIURETIN 0,2 mg tabletta",oral
332,ADOZOL 20 mg gyomornedv-ellenálló tabletta,oral
333,ADOZOL 40 mg gyomornedv-ellenálló tabletta,oral
334,"ADPORT 0,5 mg kemény kapszula",oral
335,ADPORT 1 mg kemény kapszula,oral
336,ADPORT 5 mg kemény kapszula,oral
337,Adrenalinum golyócskák  (  5CH),oral
338,Adrenalinum golyócskák  (  6CH),oral
339,Adrenalinum golyócskák  (  9CH),oral
340,Adrenalinum golyócskák  ( 12CH),oral
341,Adrenalinum golyócskák  ( 15CH),oral
342,Adrenalinum golyócskák  ( 30CH),oral
343,Adrenalinum golyócskák  (200CH),oral
344,Adrovance 70 mg/2800 NE tabletta,oral
345,Adrovance 70 mg/5600 NE tabletta,oral
346,"Advagraf 0,5 mg retard kemény kapszula",oral
347,Advagraf 1 mg retard kemény kapszula,oral
348,Advagraf 3 mg retard kemény kapszula,oral
349,Advagraf 5 mg retard kemény kapszula,oral
350,ADVANTAN 1 mg/g kenőcs,oral
351,ADVANTAN 1 mg/g krém,oral
352,ADVANTAN 1 mg/g külsőleges emulzió,oral
353,ADVANTAN 1 mg/ml külsőleges oldat,oral
354,ADVANTAN zsíros 1 mg/g kenőcs,oral
355,ADVIL 400 mg pezsgőtabletta,oral
356,ADVIL COLD 200 mg/30 mg bevont tabletta,oral
357,ADVIL ULTRA FORTE lágy kapszula,oral
358,ADVIL ULTRA lágy kapszula,oral
359,AEDON  5 mg szájban diszpergálódó tabletta,oral
360,AEDON 10 mg szájban diszpergálódó tabletta,oral
361,AEDON 15 mg szájban diszpergálódó tabletta,oral
362,AEDON 20 mg szájban diszpergálódó tabletta,oral
363,"Aerinaze 2,5 mg/120 mg módosított hatóanyag-leadású tabletta",oral
364,"Aerius 0,5 mg/ml belsőleges oldat",oral
365,"Aerius 0,5 mg/ml szirup",oral
366,"Aerius 2,5 mg szájban diszpergálódó tabletta",oral
367,Aerius 5 mg belsőleges liofilizátum,oral
368,Aerius 5 mg filmtabletta,oral
369,Aerius 5 mg szájban diszpergálódó tabletta,oral
370,AERO-OM 42 mg rágótabletta,oral
371,AEROMONT  4 mg rágótabletta,oral
372,AEROMONT  5 mg rágótabletta,oral
373,AEROMONT 10 mg filmtabletta,oral
374,AEROX 200 mikrogramm túlnyomásos inhalációs oldat,oral
375,AEROX JET 200 mikrogramm túlnyomásos inhalációs oldat,oral
376,AERRANE folyadék inhalációs gőz képzéséhez,oral
377,Aesculus hippocastanum (Aesculus) golyócskák  (  2CH),oral
378,Aesculus hippocastanum (Aesculus) golyócskák  (  5CH),oral
379,Aesculus hippocastanum (Aesculus) golyócskák  (  6CH),oral
380,Aesculus hippocastanum (Aesculus) golyócskák  (  9CH),oral
381,Aesculus hippocastanum (Aesculus) golyócskák  ( 12CH),oral
382,Aesculus hippocastanum (Aesculus) golyócskák  ( 15CH),oral
383,Aesculus hippocastanum (Aesculus) golyócskák  ( 30CH),oral
384,Aesculus hippocastanum (Aesculus) golyócskák  (200CH),oral
385,Aesculus hippocastanum (Aesculus) golyócskák  (C     5),oral
386,Aesculus hippocastanum (Aesculus) golyócskák  (C     6),oral
387,Aesculus hippocastanum (Aesculus) golyócskák  (C     9),oral
388,Aesculus hippocastanum (Aesculus) golyócskák  (C    12),oral
389,Aesculus hippocastanum (Aesculus) golyócskák  (C    15),oral
390,Aesculus hippocastanum (Aesculus) golyócskák  (C    30),oral
391,Aesculus hippocastanum (Aesculus) golyócskák  (C   200),oral
392,Aesculus hippocastanum (Aesculus) golyócskák  (C  1000),oral
393,Aesculus hippocastanum (Aesculus) golyócskák  (C 10000),oral
394,Aesculus hippocastanum (Aesculus) golyócskák  (D   4),oral
395,Aesculus hippocastanum (Aesculus) golyócskák  (D   6),oral
396,Aesculus hippocastanum (Aesculus) golyócskák  (D  12),oral
397,Aesculus hippocastanum (Aesculus) golyócskák  (D  30),oral
398,Aesculus hippocastanum (Aesculus) golyócskák  (D 200),oral
399,Aesculus hippocastanum (Aesculus) golyócskák  (D1000),oral
400,Aesculus hippocastanum (Aesculus) golyócskák (C  5),oral
401,Aesculus hippocastanum (Aesculus) golyócskák (C  6),oral
402,Aesculus hippocastanum (Aesculus) golyócskák (C  9),oral
403,Aesculus hippocastanum (Aesculus) golyócskák (C 12),oral
404,Aesculus hippocastanum (Aesculus) golyócskák (C 15),oral
405,Aesculus hippocastanum (Aesculus) golyócskák (C 30),oral
406,Aesculus hippocastanum (Aesculus) golyócskák (C200),oral
407,Aesculus hippocastanum (Aesculus) golyócskák (D 4),oral
408,Aesculus hippocastanum (Aesculus) golyócskák (D 5),oral
409,Aesculus hippocastanum (Aesculus) golyócskák (D 6),oral
410,Aesculus hippocastanum (Aesculus) golyócskák (D10),oral
411,Aesculus hippocastanum (Aesculus) golyócskák (D12),oral
412,Aesculus hippocastanum (Aesculus) golyócskák (D30),oral
413,Aethusa golyócskák  (  2CH),oral
414,Aethusa golyócskák  (  5CH),oral
415,Aethusa golyócskák  (  6CH),oral
416,Aethusa golyócskák  (  9CH),oral
417,Aethusa golyócskák  ( 12CH),oral
418,Aethusa golyócskák  ( 15CH),oral
419,Aethusa golyócskák  ( 30CH),oral
420,Aethusa golyócskák  (200CH),oral
421,"Afinitor  2,5 mg tabletta",oral
422,Afinitor  5 mg tabletta,oral
423,Afinitor 10 mg tabletta,oral
424,AFLAMIN 100 mg filmtabletta,oral
425,AFLAMIN krém,oral
426,AFLAMIN RAPID 100 mg por belsőleges szuszpenzióhoz,oral
427,Aflubin cseppek,oral
428,Aflubin nyelvalatti tabletta,oral
429,"AFRIN 0,5 mg/ml oldatos orrspray",oral
430,"AFRIN COMFORT GLICERINNEL 0,5 mg/ml oldatos orrspray",oral
431,"AFRIN COMFORT KAMILLÁVAL 0,5 mg/ml oldatos orrspray",oral
432,"AFRIN COMFORT MENTOLLAL 0,5 mg/ml oldatos orrspray",oral
433,"AFRIN COMFORT ORIGINAL 0,5 mg/ml oldatos orrspray",oral
434,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (  2CH)",oral
435,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (  5CH)",oral
436,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (  6CH)",oral
437,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (  9CH)",oral
438,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák ( 12CH)",oral
439,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák ( 15CH)",oral
440,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák ( 30CH)",oral
441,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (200CH)",oral
442,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D 4)",oral
443,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D 5)",oral
444,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D 6)",oral
445,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D10)",oral
446,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D12)",oral
447,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák (D30)",oral
448,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C  5",oral
449,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C  6",oral
450,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C  9",oral
451,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C 12",oral
452,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C 15",oral
453,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C 30",oral
454,"Agaricus (Amanita muscaria, Agaricus muscarius) golyócskák C200",oral
455,Agenerase 15 mg/ml belsőleges oldat,oral
456,Agenerase 150 mg lágy kapszula,oral
457,Agenerase 50 mg lágy kapszula,oral
458,"AGGRASTAT 0,05 mg/ml oldatos infúzió",oral
459,"AGGRASTAT 0,25 mg/ml koncentrátum oldatos infúzióhoz",oral
